id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
7778,"hable por teléfono para preguntarle como estaba, se encuentra bien y me dijo que el lunes va a ir a buscar su nuera la caja de alimentos",hable telefono preguntarle lunes buscar nuera caja alimentos,NECESIDADES OPERATIVAS,NR
7779,El AM encuentra muy bien asistidas por su familia .se le entregará la caja de alimentos en el domicilio x su voluntaria a cargo estado general muy bueno.,am asistidas familia entregara caja alimentos domicilio voluntaria cargo,NECESIDADES OPERATIVAS,NR
7780,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
7781,se encuentran bien de animo todo tramquilo entreteniendose para pasar el tiempo sigo llamando,encuentran animo tramquilo entreteniendose pasar sigo llamando,POSITIVO,R
7782,"ayer estuve hablando con el hijo de Benito, tuvo que ir a asistir a sus padres porque hace unos días Carmen, la esposa de Benito se cayo y se quebró la muñeca, por suerte la asistieron rápido y la llevaron a la guardia, está con yeso y haciendo reposo, le dije que cualquier cosa que necesiten me puede llamar . Por ahora están bien .",hablando hijo benito asistir padres carmen esposa benito quebro muneca suerte asistieron rapido llevaron guardia yeso reposo dije cosa necesiten llamar,NEUTRAL,NR
7783,SE ENTREGO MATERIAL COGNITIVO 2 EN DOMICILIO 21/08/2020,entrego material cognitivo _digit_ domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7784,"Caja de alimentos y medicamentos: FOSETIN 20ML (ATAQUE DE PANICO), CLAMADOL PLUS, ULTRANEURAL 300.",caja alimentos medicamentos fosetin _digit_ml ataque panico clamadol plus ultraneural _digit_,NECESIDADES OPERATIVAS,NR
7785,"atendio una persona sexo femenino, informa que la sra. mirta curti fallecio. agradecio el llamado y corto.",atendio persona sexo femenino informa curti fallecio agradecio llamado corto,NO RELEVANTE,NR
7786,"ayer la señora me llamo para avisarme que no le llevaron la tablet como le habian dicho, hoy hice el reclamo.",senora llamo avisarme llevaron tablet hice reclamo,NECESIDADES OPERATIVAS,NR
7787,"La llamé para ver como estaba, todo bien, hablamos un rato, se la escucha bien de ánimo.",llame hablamos rato escucha animo,POSITIVO,R
7788,"La señora Angelita es muy comunicativa, se converso con ella tres veces en la semana, vive sola, sus hijas van una vez por semana una de ellas y la otra como vive más alejada y no tiene vehículo va más espaciada a casa de su mamá, está conforme con la comunicación q es espontánea ( se comunica con la actuante ante cualquier circunstancia) .Recibe sistemáticamente la caja de Alimentos",senora angelita comunicativa converso semana vive hijas semana vive alejada vehiculo espaciada casa mama conforme comunicacion espontanea comunica actuante circunstancia recibe sistematicamente caja alimentos,NECESIDADES OPERATIVAS,NR
7789,"Blanca indica que se encuentra en buen estado de humor, que  solo salio a la calle para ir a su oculista ya que hace muy poco la operaron de la vista. 
Indica que tiene los medicamentos y que no le falta asistencia ya que su hijo Luis que vive al frente  del terreno la Asiste.
Nombro su preocupacion por los actos de vandalismo en la Plaza de Munro, cercana a Mitre donde el hijo le comento que han sido arrancados los barrotes  de las rejas, para poder ingresar y le preocupa esa situacion de falta de seguridad. y Tambien indico que su hijo se quedo sin trabajo   producto de la pandemia y que solo viven con su jubilacion.  Solicita si existe algun programa del municipio, para ayuda de reincorporacion laboral para su hijo.",blanca indica humor salio calle oculista operaron vista indica medicamentos falta asistencia hijo luis vive frente terreno asiste nombro preocupacion actos vandalismo plaza munro cercana mitre hijo arrancados barrotes rejas ingresar preocupa situacion falta seguridad hijo trabajo producto pandemia viven jubilacion solicita programa municipio ayuda reincorporacion laboral hijo,NEGATIVO,R
7790,"todo bien, se pudieron vacunar el y su mujer en la UAP Burman.",pudieron vacunar mujer uap burman,POSITIVO,R
7791,Sin novedad,novedad,NO RELEVANTE,NR
7792,Hoy tuve una charla muy emocionante con Leticia.  Agradezco la oportunidad de haber podido entrar en contacto con ella.,charla emocionante agradezco oportunidad podido entrar contacto,POSITIVO,R
7793,Siguen en la isla con su esposa. Se encuentra bien,siguen isla esposa,POSITIVO,R
7794,"No responde el llamado, entiendo que esta con un familiar que le dieron de alta y vive solo.",responde llamado entiendo familiar alta vive,NO RELEVANTE,NR
7795,"El día 28 del corriente mes va a retirar su caja de alimentos (muy agradecida)!! Ahora se presento un nuevo inconveniente ...la señora (Nilda) a la cual cuidaba a 3 cuadras de su casa, rescindió de sus servicios y por consecuente NO TIENE INGRESOS. 
Se podrá ver la posibilidad de conseguirle un trabajo o reforzar la ayuda alimentaría?! ( esta consulta la estoy haciendo yo sin haberle prometido nada a Delia).",_digit_ corriente mes retirar caja alimentos agradecida presento inconveniente senora cuidaba _digit_ cuadras casa rescindio servicios consecuente ingresos posibilidad conseguirle trabajo reforzar ayuda alimentaria consulta haberle prometido,NECESIDADES OPERATIVAS,NR
7796,Hemos realizado la derivación correspondiente al área para el envío de aliementos a domicilio. Saludos!,derivacion correspondiente area envio aliementos domicilio saludos,NECESIDADES OPERATIVAS,NR
7797,"Se encontraba arreglando e jardin aprovechando el dia caluroso, hablamos de tdoo un poco estaba gestionando esperar q habran las peluquerias, me conto q al principio estaba mas melancolica preocupada por sus hermanos y sobrinos pero ya se siente mas tranquila.  Me conto que se iba a hacer analisis generales , se está cuidando y tomó los consejos que les dí de no dejarse estar con sus patologías crónicas...",encontraba arreglando jardin aprovechando caluroso hablamos tdoo gestionando esperar peluquerias conto melancolica preocupada hermanos sobrinos siente tranquila conto iba analisis generales cuidando tomo consejos di dejarse patologias cronicas,NEUTRAL,NR
7798,"llame en varias oportunidades, se corta al atender.",llame oportunidades corta atender,NO RELEVANTE,NR
7799,Va a comunicarce con el 147 x el tema de el tramite para exentos de ABL,comunicarce _digit_ tema tramite exentos abl,NECESIDADES OPERATIVAS,NR
7800,"Hoy lo llamare para despedirme. No tengo relación.  Él  sólo quiere la bolsa de alimentos, la gestioné y la recibe periódicamente.",llamare despedirme relacion bolsa alimentos gestione recibe periodicamente,NECESIDADES OPERATIVAS,NR
7801,no me puedo comunicar da el contestador seguire intentando,comunicar contestador seguire intentando,NO RELEVANTE,NR
7802,Se encuentra muy bien,,POSITIVO,R
7803,"Solicité elementos de limpieza, ella ha esperado por dos meses la bolsa de alimentos.",solicite elementos limpieza esperado meses bolsa alimentos,NECESIDADES OPERATIVAS,NR
7804,ME PUDE COMUNICAR CON SALVADOR Y ESTA MUY BIEN,pude comunicar salvador,POSITIVO,R
7805,Muy buen estado de animo,animo,POSITIVO,R
7806,"Me comuniqué nuevamente con la Sra. Luisa Verón. Me comentó que esta bien de animo, también que la llamaron para darle el beneficio de la tarifa social por el pago de sus servicios ya que percibe la jubilación mínima. Esta equilibrada en materia de salud. La caja alimentaria le debería llegar esta semana según lo comentado.",comunique nuevamente luisa veron animo llamaron darle beneficio tarifa social pago servicios percibe jubilacion minima equilibrada materia salud caja alimentaria deberia llegar semana comentado,NECESIDADES OPERATIVAS,NR
7807,pacte llamarlo nuevamente,pacte llamarlo nuevamente,NO RELEVANTE,NR
7808,"Tiene ganas de participar del programa y quedamos en volver a charlar la semana que viene. Vive con uno de sus hijos y también tiene quién la ayude con las compras y mandados.
Está con miedo pero se la nota animada a pesar de todo.",ganas participar programa quedamos volver charlar semana viene vive hijos ayude compras mandados miedo nota animada,NEGATIVO,R
7809,Se entrega alimentos  en domicilio 24/7/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7810,SE ENTREGO ALIMENTOS EN DOMICILIO EL 31/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7811,Ana María es asistida por su hija.,ana asistida hija,NEUTRAL,NR
7812,SE ENTREGO ALIMENTOS EN DOMICILIO EL 31/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7813,"Hablé hoy, me dijo que antes de ayer lo internaron en el Hospital de Vicente Lopez porque esta con neumonia, esperando a que una ambulancia del pami lo traslade a la clinica olivos. Mañana va a ir la hija a verlo.",hable internaron hospital vicente lopez neumonia esperando ambulancia pami traslade clinica olivos manana hija verlo,NEGATIVO,R
7814,Ella y su marido están bien. No tienen ningún requerimiento puntual por el momento.,marido requerimiento puntual,POSITIVO,R
7815,"6/7 no da tono no me puedo comunicar, doy de baja con ¨no interesa¨",_digit_ _digit_ tono comunicar doy baja interesa,NO RELEVANTE,NR
7816,El AM fue llamado nuevamente para explorar el estado general de ánimo y acompañamiento por parte de familia  respondiendo a eso buen estado en general en todos los hambitos,am llamado nuevamente explorar animo acompanamiento familia respondiendo hambitos,POSITIVO,R
7817,Sin novedad,novedad,NO RELEVANTE,NR
7818,"Adelina y su esposo se encunetran bien de ánimo. Ella se dedica a la cocina y a la lectura.
Me contó que ambos salen a caminar cerca de su casa para despejarse y hacen las compras en un supermercado cercano.",esposo encunetran animo dedica cocina lectura conto salen caminar casa despejarse compras supermercado cercano,POSITIVO,R
7819,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7820,"Hablamos un rato, estaba bien. Me pregunto si esta semana iba a recibir la  caja de alimentos, quede en averiguarle, le pase las actividades me dijo que lo pensaba y me avisaba.",hablamos rato pregunto semana iba recibir caja alimentos quede averiguarle pase actividades pensaba avisaba,NECESIDADES OPERATIVAS,NR
7821,TODO EN ORDEN - EL ESPOSO TAMBIEN ES ASISTIDO POR OTRO VOLUNTARIO,orden - esposo asistido voluntario,POSITIVO,R
7822,Sin novedad,novedad,NO RELEVANTE,NR
7823,"No contesta el teléfono, seguiré insistiendo en otro horario",contesta telefono seguire insistiendo horario,NO RELEVANTE,NR
7824,"Estuvo barriendo la vereda. Estaba mirando en la TV el programa de la cocina, me preguntó si la llamaba sólo a ella y me pidio que la tutiara. 
Estaba bien, con un poco de dolor en la columna porque se agacho para juntar las hojas. Se habia tenido el domingo y se la notaba bien.",barriendo vereda mirando tv programa cocina pregunto llamaba pidio tutiara dolor columna agacho juntar hojas domingo notaba,POSITIVO,R
7825,Vive sola. Tiene  asistencia de familiares con los que está permanentemente en contacto y se ayudan mutuamente.  Le dejé mi celular.,vive asistencia familiares permanentemente contacto ayudan mutuamente deje celular,NEUTRAL,NR
7826,La sra. Mirta se encuentra muy bien en su casa con su hija y estan haciendo manualidades para pasar el rato.,casa hija manualidades pasar rato,POSITIVO,R
7827,"Comunicado con la señora, ella y su esposo, se encuentran muy bien de ánimo y salud. Agradecida con el acompañamiento, seguiremos en contacto",comunicado senora esposo encuentran animo salud agradecida acompanamiento seguiremos contacto,POSITIVO,R
7828,Voy a buscarle las recetas a laprida y maipú. Luego me pide que le compre té en la farmacia. Quedamos en hablar.,buscarle recetas laprida maipu pide compre farmacia quedamos hablar,NECESIDADES OPERATIVAS,NR
7829,"hoy volvi a hablar con Manuel y tambien con su esposa, se encuentran bien y agradecidos del contacto, cuando termine la cuarentena nos vamos a conocer personalmente.",volvi hablar manuel esposa encuentran agradecidos contacto termine cuarentena personalmente,POSITIVO,R
7830,en el dia de la fecha me comunico con norma y me contaba que estaba estudiando asique eso lo mantiene entretenida igualmente ella esta muy bien de animo y se mantiene encerrada,fecha comunico contaba estudiando asique mantiene entretenida igualmente animo mantiene encerrada,POSITIVO,R
7831,Llamé dos veces y salió el contestador.,llame salio contestador,NO RELEVANTE,NR
7832,"en el dia de ayer  lunes feriado, hablamos mucho con susi, ella esta bien, un poco desanimada. me pido si podia comprarle una bolsa de agua, ya que la suya se rompio. 
le dije que no haba problema, que la compraria y se la llevaria en esta semana.",lunes feriado hablamos susi desanimada pido podia comprarle bolsa agua rompio dije haba problema compraria llevaria semana,NECESIDADES OPERATIVAS,NR
7833,Sin novedad,novedad,NO RELEVANTE,NR
7834,Martin se encuentra con los horarios un poco revueltos pero por suerte lo lleva barbaro  charlamos de la actualidad y como lo ve  ... le enoja mucho ver tanta gente en la calle sin los cuidados q deberian tener,horarios revueltos suerte barbaro charlamos actualidad ve enoja tanta gente calle cuidados deberian,NEGATIVO,R
7835,Sin novedad,novedad,NO RELEVANTE,NR
7836,CAJA A DOMICILIO,caja domicilio,NECESIDADES OPERATIVAS,NR
7837,me comunique para preguntarle como estaba y realizarle la encuesta.,comunique preguntarle realizarle encuesta,NO RELEVANTE,NR
7838,SE ENTREGO MATERIAL DE ESTIMULACION COGNITIVA 1 Y 2 EL DIA 14/08/2020,entrego material estimulacion cognitiva _digit_ _digit_ _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7839,"Se hace el primer llamado, la persona esta bien de animo, se logra el vinculo y buen dialogo. Esta persona vive con la esposa e hija. Le impacto mucho porque el continua trabajando como autónomo, por eso casi no tiene trabajo hace changas. Las compras las esta haciendo la hija.",llamado persona animo logra vinculo dialogo persona vive esposa hija impacto continua trabajando trabajo changas compras hija,POSITIVO,R
7840,EL 07/08/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
7841,Hoy la llamé para avisarle que pasarían a dejarle la caja de alimentos. estaban muy bien los dos.,llame avisarle pasarian dejarle caja alimentos,NECESIDADES OPERATIVAS,NR
7842,SE ENTREGO ALIMENTOS EN DOMICILIO EL 17/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
7843,Se encuentra bien. No quiso hablar mucho,quiso hablar,POSITIVO,R
7844,"Hoy me consultó Leonor por las tablet que el municipio está entregando, le dije que iba a averiguar para ver si ella la puede tener así que ahora voy a proceder a enviar el mail, ojalá se la puedan otorgar.",consulto tablet municipio entregando dije iba averiguar proceder enviar mail ojala puedan otorgar,NECESIDADES OPERATIVAS,NR
7845,no atiende,atiende,NO RELEVANTE,NR
7846,hable con Maria de PAMI nuevamente para conseguir una endocrinolga para que le den la medicacion que necesita,hable pami nuevamente endocrinolga den medicacion necesita,NECESIDADES OPERATIVAS,NR
